Frequency(Hz) - Plot 0	Amplitude - Plot 0
5199,83	5,36449
5299,85	5,41005
5299,85	5,53195
5399,88	5,63892
5399,89	5,62618
5499,9	5,74447
5499,89	5,73763
5499,9	5,75067
5599,94	5,91584
5599,92	5,86945
5699,94	6,03325
5699,94	6,04592
5699,93	6,05607
5799,98	6,23373
5799,97	6,07129
5899,81	6,13298
5899,81	6,35958
5899,8	6,2173
5999,83	6,38105
5999,83	6,40506
6099,84	6,54901
6099,82	6,5112
6199,89	6,63221
6199,87	6,64476
6199,88	6,65498
6299,89	6,71772
6299,87	6,6927
6399,88	6,90742
6399,93	6,82723
6499,94	6,98874
6499,94	7,05485
6599,79	7,13059
6599,76	7,23936
6599,76	7,04063
6699,79	7,20579
6699,79	7,35039
6799,81	7,41359
6799,8	7,51116
6899,85	7,50947
6899,82	7,56503
6899,84	7,56857
6999,86	7,73943
6999,85	7,70894
7099,89	7,85089
7099,88	7,73923
7199,89	7,90948
7199,93	7,865
7199,9	7,94624
7299,93	7,91549
7299,9	7,99798
7399,76	8,18655
7399,75	8,16073
7499,78	8,24033
7499,79	8,42061
7499,8	8,26344
7599,82	8,46553
7599,79	8,39525
7699,83	8,48629
7699,83	8,5277
7699,85	8,469
7799,85	8,66781
7799,84	8,6073
7799,85	8,67562
7899,87	8,81957
7899,87	8,72804
7999,91	8,83617
7999,87	8,90029
7999,9	8,92433
8099,92	9,09613
8099,91	8,99303
8199,76	9,22859
8199,75	9,14694
8199,75	9,15007
8299,78	9,2901
8299,78	9,32046
8299,79	9,21161
8399,77	9,31721
8399,79	9,43911
8499,8	9,57895
8499,81	9,52698
8499,8	9,46233
8599,81	9,61768
8599,83	9,63881
8699,85	9,74988
8699,84	9,84689
8699,85	9,73728
8799,87	9,84254
8799,86	9,79524
8799,91	9,91748
8899,91	10,0894
8899,91	10,0791
8899,92	10,1209
8999,73	10,1353
8999,75	10,2436
9099,76	10,1421
9099,76	10,3537
9099,77	10,3297
9199,76	10,4491
9199,78	10,3615
9299,8	10,4718
9299,78	10,4956
9299,79	10,5786
9399,81	10,7266
9399,8	10,7038
9399,82	10,6923
9499,86	10,7328
9499,83	10,8376
9599,88	10,9336
9599,85	10,8036
9599,89	10,8083
9699,7	11,0003
9699,72	11,0505
9799,72	11,1872
9799,73	11,0788
9799,73	11,1667
9899,75	11,3173
9899,75	11,3607
9999,76	11,4248
9999,77	11,349
9999,78	11,4129
10099,8	11,4288
10099,8	11,5767
10199,8	11,6162
10199,8	11,6791
10199,8	11,6514
10299,8	11,7453
10299,8	11,7219
10399,9	11,9421
10399,8	11,9804
10399,8	11,8302
10499,7	12,1017
10499,7	12,0446
10499,7	11,9026
10599,7	12,1177
10599,7	12,2033
10699,7	12,2577
10699,7	12,3378
10699,7	12,4055
10799,8	12,3365
10799,8	12,5316
10899,8	12,5568
10899,8	12,6271
10999,8	12,7004
10999,8	12,5245
10999,8	12,619
11099,8	12,7595
11099,8	12,8011
11099,8	12,8688
11199,9	12,9374
11199,8	12,9214
11299,7	12,9453
11299,7	12,9533
11299,7	13,0975
11399,7	13,112
11399,7	13,1489
11499,7	13,2873
11499,7	13,2454
11499,7	13,2205
11599,8	13,4574
11599,8	13,3153
11699,8	13,4479
11699,7	13,5854
11699,8	13,5965
11799,8	13,6011
11799,8	13,6112
11899,8	13,6838
11899,8	13,7627
11899,8	13,8107
11999,9	13,9114
11999,8	13,9582
12099,7	13,9674
12099,7	13,9124
12099,7	13,9331
12199,7	14,2546
12199,7	14,074
12299,7	14,2836
12299,7	14,3884
12299,7	14,3315
12399,7	14,3561
12399,7	14,3066
12499,8	14,4539
12499,8	14,6017
12499,8	14,41
12599,8	14,6141
12599,8	14,739
12699,8	14,8834
12699,8	14,6954
12699,8	14,7289
12799,6	14,931
12799,6	14,8902
12899,7	15,1269
12899,6	15,1898
12899,6	15,0849
12999,7	15,1496
12999,7	15,111
13099,7	15,4097
13099,7	15,1927
13199,7	15,2997
13199,7	15,4245
13199,7	15,3949
13299,7	15,4444
13299,7	15,5267
13399,8	15,5923
13399,8	15,6704
13399,8	15,6369
13499,8	15,7151
13499,8	15,693
13599,6	15,9966
13599,6	15,908
13599,6	15,9134
13699,7	16,0034
13699,6	16,0046
13799,7	16,1729
13799,7	16,1171
13799,7	16,2179
13899,7	16,3166
13899,7	16,3731
13999,7	16,3112
13999,7	16,3159
14099,7	16,6004
14099,8	16,6378
14099,7	16,5412
14199,7	16,5583
14199,7	16,7307
14299,8	16,745
14299,8	16,9086
14299,8	16,833
14399,6	16,8818
14399,6	17,0313
14499,6	16,9765
14499,6	17,1852
14499,6	17,1499
14599,6	17,1652
14599,7	17,2759
14699,7	17,3823
14699,7	17,3549
14799,7	17,32
14799,7	17,4514
14799,7	17,4524
14899,7	17,5537
14899,7	17,6785
14999,7	17,5609
14999,7	17,6223
14999,8	17,5543
