Frequency(Hz) - Plot 0	Amplitude - Plot 0
2299,97	0,0928048
2299,96	0,0926858
2400,11	0,0964606
2399,98	0,0965128
2399,91	0,0964699
2500	0,100384
2500,01	0,100253
2500,03	0,100257
2600,02	0,103965
2600,03	0,103975
2700,02	0,1077
2700,01	0,107674
2700,07	0,107656
2799,89	0,111409
2799,98	0,111379
2799,82	0,111333
2899,98	0,115103
2899,89	0,115014
2899,88	0,115113
2999,95	0,11871
2999,9	0,118596
2999,88	0,118653
3099,85	0,122254
3099,93	0,122179
3199,92	0,125735
3199,94	0,125793
3199,97	0,125724
3299,97	0,129257
3299,96	0,129242
3299,92	0,129303
3399,9	0,132812
3400	0,132927
3399,96	0,132818
3499,89	0,136319
3499,86	0,136265
3555,18	0,134411
3599,92	0,139748
3599,87	0,139672
3699,87	0,143126
3699,85	0,143181
3699,85	0,143194
3799,91	0,146598
3799,89	0,146479
3799,9	0,146566
3899,92	0,149899
3899,87	0,1498
3899,94	0,149855
3999,96	0,153248
3999,92	0,153213
4100	0,156489
4099,9	0,156477
4099,96	0,156483
4200,02	0,15973
4199,94	0,159686
4200,02	0,159696
4299,8	0,162947
4299,9	0,162985
4299,78	0,162985
4399,83	0,166121
4399,87	0,166162
4399,87	0,166126
4499,88	0,169312
4499,84	0,169282
4599,91	0,172558
4599,92	0,172381
4599,89	0,172316
4699,94	0,175545
4699,92	0,175521
4700	0,17547
4799,93	0,178491
4799,96	0,178509
4799,92	0,178565
4899,96	0,181625
4899,95	0,18153
4899,96	0,181598
4999,97	0,184431
5000	0,184511
5099,81	0,187492
5099,84	0,187467
5099,84	0,187446
5199,81	0,190304
5199,81	0,190354
5199,84	0,190457
5299,9	0,19326
5299,89	0,193202
5299,94	0,19328
5399,87	0,196143
5399,87	0,196092
5399,92	0,19606
5499,89	0,19884
5499,92	0,199052
5599,93	0,2017
5599,93	0,201681
5599,93	0,201677
5699,95	0,204602
5699,93	0,204492
5699,95	0,204447
5799,97	0,207155
5799,97	0,207025
5799,96	0,207108
5899,77	0,209858
5899,8	0,209788
5899,81	0,209918
5999,85	0,212518
5999,83	0,212505
6099,87	0,215048
6099,88	0,214985
6099,87	0,215132
6199,87	0,217692
6199,85	0,217721
6199,87	0,217692
6299,91	0,220262
6299,96	0,22029
6299,92	0,220178
6399,95	0,222745
6399,89	0,222736
6399,96	0,222802
6499,97	0,225218
6499,87	0,225275
6499,88	0,225258
6599,84	0,227632
6599,77	0,227644
6699,78	0,230186
6699,8	0,230028
6699,79	0,230039
6799,84	0,232353
6799,84	0,232416
6799,81	0,232347
6899,84	0,234754
6899,85	0,234873
6899,86	0,234831
6999,85	0,237096
6999,82	0,237191
7099,91	0,239432
7099,89	0,239359
7099,88	0,239411
7199,9	0,241608
7199,88	0,241618
7199,9	0,241602
7299,93	0,243962
7299,93	0,243923
7299,92	0,243892
7399,75	0,246139
7399,76	0,246194
7399,74	0,246029
7499,77	0,248269
7499,78	0,248231
7599,82	0,250414
7599,8	0,250526
7599,84	0,2504
7699,86	0,252446
7699,81	0,252627
7699,83	0,25257
7799,81	0,254699
7799,84	0,254611
7799,83	0,254568
7899,88	0,256774
7899,86	0,256885
7999,87	0,258793
7999,89	0,258608
7999,9	0,258714
8099,92	0,260775
8099,91	0,260685
8099,88	0,260644
8199,74	0,262635
8199,74	0,262578
8199,75	0,262641
8299,76	0,26449
8299,76	0,264639
8299,78	0,264572
8399,81	0,266502
8399,75	0,266655
8499,85	0,268552
8499,78	0,26837
8499,85	0,268444
8599,91	0,27029
8599,89	0,270526
8599,77	0,270176
8699,71	0,271855
8699,41	0,271632
8699,37	0,271425
8799,74	0,273397
8800,09	0,274618
8899,54	0,277355
8900	0,275428
8899,56	0,278019
9000,14	0,276954
8999,04	0,2786
9000,53	0,276329
9099,52	0,279681
9099,58	0,279349
9099,95	0,27887
9199,74	0,280967
9199,8	0,281182
9299,8	0,282776
9299,82	0,282651
9299,77	0,282582
9399,82	0,284355
9399,85	0,284339
9399,83	0,284241
9499,83	0,285925
9499,81	0,286094
9499,85	0,285915
9599,87	0,287678
9599,87	0,287716
9599,89	0,287679
9699,7	0,28927
9699,71	0,289171
9699,73	0,289368
9799,74	0,290812
9799,74	0,29074
9799,73	0,290779
9899,77	0,292366
9899,75	0,292259
9999,78	0,294064
9999,76	0,293806
9999,8	0,293806
10099,8	0,295476
10099,8	0,29527
10099,8	0,295193
10199,8	0,296808
10199,8	0,296802
10199,8	0,296684
10299,9	0,298281
10299,8	0,298226
10399,8	0,299708
10399,8	0,299668
10399,8	0,299739
10499,7	0,301114
10499,7	0,301212
10499,7	0,301166
10599,7	0,30251
10599,7	0,302572
10599,7	0,302408
10699,7	0,303932
10699,7	0,303894
10799,7	0,305226
10799,8	0,305241
10799,8	0,305232
10899,8	0,306611
10899,8	0,306556
10899,8	0,306525
10999,8	0,307898
10999,8	0,30796
11099,8	0,309183
11099,8	0,309283
11099,8	0,3091
11199,9	0,310466
11199,9	0,310542
11199,9	0,310505
11299,7	0,311737
11299,7	0,311767
11299,7	0,311817
11399,7	0,312995
11399,7	0,313069
11499,7	0,314332
11499,7	0,314226
11499,7	0,314322
11599,8	0,31552
11599,7	0,315572
11599,7	0,315628
11699,7	0,316618
11699,8	0,316807
11799,8	0,317903
11799,8	0,31799
11799,7	0,317953
11899,8	0,319046
11899,8	0,318951
11899,8	0,31905
11999,8	0,320134
11999,8	0,320188
12099,7	0,321273
12099,7	0,321476
12099,7	0,321223
12199,7	0,322536
12199,7	0,322623
12199,7	0,322525
12299,7	0,323564
12299,7	0,323573
12399,7	0,324586
12399,7	0,324631
12399,7	0,324695
12499,7	0,325862
12499,8	0,32573
12499,8	0,325689
12599,8	0,326668
12599,8	0,326657
12599,8	0,326616
12699,8	0,327844
12699,8	0,327656
12799,6	0,328665
12799,7	0,328684
12799,6	0,328728
12899,6	0,329713
12899,7	0,329826
12899,7	0,32987
12999,7	0,330805
12999,7	0,330787
13099,7	0,331849
13099,7	0,331874
13099,7	0,331799
13199,7	0,33265
13199,7	0,332822
13199,7	0,332789
13299,7	0,33369
13299,7	0,333684
13399,8	0,334649
13399,8	0,334723
13399,8	0,33479
13499,8	0,335579
13499,8	0,335717
13499,8	0,335517
13599,6	0,336574
13599,6	0,336511
13599,6	0,336595
13699,6	0,337367
13699,7	0,33731
13799,7	0,338197
13799,7	0,338343
13799,7	0,338243
13899,7	0,339198
13899,7	0,339124
13899,7	0,339149
13999,7	0,340009
13999,7	0,340083
14099,8	0,340904
14099,7	0,340838
14099,7	0,34078
14199,7	0,341742
14199,7	0,341782
14199,8	0,341799
14299,8	0,342552
14299,8	0,342537
14399,6	0,343379
14399,6	0,343379
14399,6	0,343307
14499,6	0,344116
14499,6	0,344177
14599,7	0,344876
14599,7	0,345041
14599,7	0,345058
14699,7	0,345763
14699,7	0,345656
14699,7	0,345737
14799,7	0,346532
14799,7	0,346516
14899,7	0,347204
14899,7	0,347159
14899,7	0,347262
14999,8	0,348176
14999,7	0,348131
14999,8	0,348056
15099,7	0,348899
15099,8	0,348837
15199,6	0,34937
15199,6	0,349592
15199,6	0,349533
15299,7	0,350387
15299,6	0,350329
15299,6	0,35023
15399,7	0,350893
15399,6	0,350988
15499,7	0,351649
15499,7	0,351682
15499,7	0,351622
15599,7	0,352374
15599,7	0,352403
15599,7	0,35236
15699,7	0,353182
15699,7	0,353061
15799,7	0,353775
15799,7	0,353672
15799,7	0,353761
15899,6	0,354371
15899,6	0,354529
15899,5	0,354468
15999,6	0,355082
15999,6	0,355064
16099,6	0,355865
16099,6	0,355675
16099,6	0,355829
16199,6	0,356227
16199,6	0,356271
16199,6	0,356427
16299,7	0,356925
16299,7	0,357032
16399,7	0,35761
16399,7	0,357569
16399,7	0,357589
16499,7	0,358338
16499,7	0,358168
16499,7	0,358214
16599,7	0,358835
16599,7	0,358845
16699,6	0,359517
16699,6	0,359497
16699,5	0,359435
16799,6	0,360147
16799,6	0,360029
16799,6	0,360079
16899,6	0,360644
16899,6	0,360664
16999,6	0,361299
16999,6	0,361348
16999,7	0,361245
17099,6	0,361968
17099,6	0,361923
17199,7	0,362428
17199,7	0,362437
17199,7	0,362354
17299,7	0,363121
17299,7	0,362946
17299,7	0,362993
17399,7	0,363526
17399,7	0,363514
17499,6	0,364062
17499,5	0,36407
17499,5	0,364086
17599,5	0,36457
17599,6	0,364682
17599,5	0,364601
17699,6	0,365102
17699,6	0,365175
17799,6	0,365748
17799,6	0,365732
17799,6	0,365668
17899,7	0,366137
17899,6	0,366309
17999,7	0,36677
17999,7	0,366758
17999,7	0,366659
