Frequency(Hz) - Plot 0	Amplitude - Plot 0
8040,11	56,0081
8060,66	55,9838
8060,49	55,8316
8080,27	55,8058
8079,97	55,8699
8100,64	55,7334
8101,52	55,6839
8118,92	55,5751
8119,01	55,4873
8138,82	55,7723
8141,77	55,8639
8160,73	55,7376
8159,25	55,7195
8179,63	55,5941
8180,03	55,7019
8199,43	55,5956
8200,9	55,5637
8222,59	55,3453
8219,65	55,4072
8239,99	55,5804
8239,95	55,5161
8260,27	55,8002
8259,49	55,3957
8280,33	55,4726
8281,5	55,3425
8298,65	55,2385
8300,28	55,2021
8320,26	55,4234
8323	54,9118
8340,25	55,2154
8338,34	55,4069
8360,02	55,1952
8380,03	55,2755
8378,66	55,3822
8400,8	54,827
8400,64	55,4111
8418,69	55,3545
8420,38	55,151
8440,21	55,2176
8441,21	54,8013
8462,04	54,7291
8459,28	55,0279
8479,46	55,0865
8479,61	54,8329
8499,24	55,3369
8497,82	55,4568
8499,2	54,8375
8521,16	54,75
8519,12	54,6905
8540,74	54,6751
8539,23	54,9589
8542,26	54,7462
8560,52	54,8413
8560,12	54,9181
8582,32	54,7778
8582,63	54,5446
8598,37	54,8012
8599,03	54,9947
8619,39	54,7146
8619,66	54,4265
8639,3	54,8811
8639,12	55,1539
8658,37	54,7744
8660,91	54,5701
8678,96	54,8253
8680,52	54,4307
8700,17	54,7657
8699,56	54,7127
8718,54	54,6679
8722,17	54,1527
8739,72	54,7626
8738,62	54,852
8739,68	54,4181
8760,81	54,3738
8760,94	54,3603
8779,36	54,6221
8779,77	54,291
8799,11	54,5164
8799,07	54,6738
8819,02	54,4264
8818,51	54,7498
8840,88	54,0363
8838,18	54,5873
8858,78	54,2017
8860,05	54,6728
8878,98	54,3152
8879,65	54,3034
8903,15	54,0803
8899,17	54,1228
8922,38	54,0823
8921,15	54,3844
8940,51	54,2638
8939,05	54,4087
8961,13	54,1508
8959,61	54,2548
8978,86	54,3591
8979,85	54,0848
8999,92	53,9597
9020,85	54,0884
9020,71	54,1091
9040,48	53,9244
9060,87	54,0428
9059,66	53,967
9078,75	54,0804
9080,66	53,9672
9099,4	53,7428
9100,24	54,2244
9119,68	53,7003
9119,9	53,5953
9139,47	54,1198
9139,48	53,6645
9162,29	53,594
9159,13	54,0378
9179,8	53,8076
9178,92	54,0287
9199,64	53,7423
9200,39	53,31
9218,46	53,9013
9220,88	53,4295
9239,68	53,3347
9239,65	53,8927
9259,5	54,1054
9259,86	53,3748
9281,44	53,3216
9280,73	53,7093
9298,5	53,9097
9299,24	53,8854
9319,44	53,1812
9318,57	53,6155
9338,73	53,5708
9341,51	53,1709
9360,43	53,5337
9359,58	53,2043
9381,09	53,2082
9379,95	53,297
9399,9	53,705
9400,03	53,438
9419,84	53,3135
9421,24	53,1533
9439,81	53,1483
9461,01	53,216
9458,47	53,7355
9480,28	53,0587
9479,34	53,2351
9499,6	53,1422
9498,57	53,3086
9520,84	53,2809
9520,63	53,5756
9540,48	52,8457
9540,77	53,4036
9560,77	52,7193
9558,6	52,8796
9578,76	53,1653
9579,92	53,219
9600,34	52,8604
9599,69	53,2375
9619,6	53,1469
9620,63	52,7987
9639,49	53,5202
9640,26	52,8108
9658,9	53,0023
9658,63	52,8208
9679,64	53,1249
9680,15	52,9221
9698,82	52,8893
9720,76	52,8634
9718,37	53,0297
9720,14	52,941
9738,18	53,3176
9741,29	52,5986
9760,98	52,9187
9780,23	52,8754
9779,71	52,9701
9798,89	52,7017
9802,04	52,6915
9820,27	52,7073
9820,42	52,68
9839,44	52,6714
9840,7	52,5997
9859,51	52,9602
9859,94	52,5272
9879,83	52,2199
9878,24	52,5137
9900,02	52,4679
9901,17	52,4773
9920,92	52,1516
9920,88	52,501
9939,67	52,2027
9941,05	52,3766
9958,1	52,5612
9959,8	52,2737
9979,75	52,2623
9979,57	51,8488
10001,2	52,1019
9999,18	52,7133
10018,5	52,6011
10019,7	52,5021
10039,7	52,2415
10040,2	52,6051
10059	52,3609
10060,5	52,271
10081,6	52,2628
10078,8	52,3529
10103	51,7015
10099,5	52,4894
10120,3	52,0559
10119,2	52,4501
10138,3	52,5994
10137,8	52,2357
10159,1	52,5068
10161	52,0902
10179,3	51,8465
10180,4	51,9932
10199,1	52,2782
10198,2	52,448
10217,1	52,16
10220,4	52,2146
10240,6	51,7568
10242,4	51,5782
10260,4	51,9629
10278,3	52,4393
10281,3	51,8316
10299,9	52,2039
10299,3	51,7789
10321,9	52,2753
10318,8	51,8302
10339,4	51,8977
10338,9	52,1189
10359,8	51,816
10358,7	51,9711
10381,7	52,0684
10382,3	51,6069
10397,8	51,9645
10398	52,0691
10419,5	51,8912
10418,3	52,2811
10439,3	51,8644
10439,5	52,1984
10459,8	51,8206
10458,8	51,852
10479,9	51,3083
10478,9	51,6311
10499,5	51,8833
10497,7	51,8049
10520,7	51,7698
10519,4	51,7506
10538,8	51,9808
10538,8	51,7898
10560	51,6778
10558,6	51,8509
10579,9	51,37
10599,1	51,6976
10600,5	51,4733
10600,2	51,3324
10620,6	50,888
10638,3	51,6651
10639,2	51,7505
10659,2	51,5352
10661,1	51,2937
10678,8	51,7369
10679,7	51,4812
10699,4	51,595
10699,5	51,3321
10722,3	51,0604
10719,9	51,6595
10739	51,3786
10738,2	51,5092
10760,3	51,0453
10760,5	51,3134
10781,2	51,2133
10779,2	51,3421
10800,9	51,2619
10800,7	50,9691
10819,7	51,4819
10820,5	51,0844
10839,2	51,0195
10839,8	51,4563
10860,3	51,3432
10879,1	50,9551
10879,8	51,1959
10900,8	51,1187
10900,9	50,9829
10920,4	51,1562
10918,3	51,2442
10940,3	51,0624
10938,7	51,1094
10958,6	51,3344
10957,6	51,1066
10979,1	51,2487
10979	50,6801
10999,3	51,0849
11000,5	51,0021
11019	51,0233
11019,8	51,1554
11039,5	51,0781
11040,2	51,0029
11061	50,9057
11059,9	51,1804
11079,7	50,8224
11099,2	50,9892
11099,9	51,0273
11119,7	51,1241
11119	51,1379
11140,9	50,5217
11139,1	51,0151
11159,5	50,7701
11159,8	50,7609
11180	51,1736
11179,6	50,6517
11198,8	50,9432
11200,6	50,7369
11220,2	50,8714
11219,5	50,6503
11237,5	50,8495
11259,1	51,0568
11260,8	50,3817
11279,4	50,4604
11280,8	50,802
11298,7	51,0067
11300,5	50,7619
11321,5	50,1696
11319,8	50,9389
11340	50,4611
11339	50,6839
11360,3	50,5166
11358,5	50,8277
11379,5	50,7265
11379,5	50,1982
11401,7	50,3536
11400,5	50,6523
11419,7	50,7815
11439	50,4438
11440,5	50,3219
11459,5	50,5371
11460,2	49,9429
11482,1	50,4306
11479,5	50,3174
11499,4	50,3143
11498,7	50,3497
11521,3	50,2966
11519,4	50,5648
11540,7	49,9846
11557,8	50,0288
11559,2	50,2401
11579,9	50,2942
11581,3	50,097
11600,4	50,3421
11599,9	50,6887
11619,8	50,3454
11619,2	50,2413
11639,7	50,2758
11641,4	50,1158
11659,6	50,5459
11680,1	50,2819
11678,7	50,4556
11699,2	50,253
11699,2	50,4146
11718,9	50,0388
11721,4	50,1442
11739,5	50,1173
11738,6	50,5192
11759,6	49,9491
11758,9	50,1997
11780,8	50,1714
11798,6	49,7188
11800,7	49,7644
11819,8	50,2547
11820,7	49,8749
11838,6	50,0891
11839	50,3658
11859,5	50,2005
11858,9	50,4144
11880,4	50,0875
11881,1	50,3127
11899,5	50,0781
11899,7	50,0504
11919,8	49,899
11919,2	50,1953
11939,6	50,026
11958,4	49,7994
11959,1	49,6848
11980,2	50,0602
11979	49,5517
12000,7	49,8711
12000,7	49,7608
